user_id,movie_id,rating,timestamp,title,year
527,507,1.0,879455654,"Streetcar Named Desire, A (1951)",1951.0
292,176,1.0,881103478,Aliens (1986),1986.0
535,789,0.4,879618613,Swimming with Sharks (1995),1995.0
291,455,1.0,874805958,Jackie Chan's First Strike (1996),1996.0
627,197,1.0,879529730,"Graduate, The (1967)",1967.0
293,174,1.0,888905923,Raiders of the Lost Ark (1981),1981.0
280,409,0.6,891702441,Jack (1996),1996.0
916,237,0.6,880843419,Jerry Maguire (1996),1996.0
344,451,0.8,884901403,Grease (1978),1978.0
74,272,1.0,888333194,Good Will Hunting (1997),1997.0
804,162,0.4,879446037,On Golden Pond (1981),1981.0
387,93,1.0,886480703,Welcome to the Dollhouse (1995),1995.0
880,793,0.8,880174677,Crooklyn (1994),1994.0
695,1024,1.0,888805913,Mrs. Dalloway (1997),1997.0
58,70,0.8,890321652,Four Weddings and a Funeral (1994),1994.0
38,82,1.0,892429903,Jurassic Park (1993),1993.0
758,31,0.6,881977872,Crimson Tide (1995),1995.0
253,318,1.0,891628323,Schindler's List (1993),1993.0
295,52,1.0,879966498,"Madness of King George, The (1994)",1994.0
537,615,0.6,886031074,"39 Steps, The (1935)",1935.0
535,186,0.8,879618925,"Blues Brothers, The (1980)",1980.0
235,1176,1.0,889655820,Welcome To Sarajevo (1997),1997.0
144,528,0.8,888105846,"Killing Fields, The (1984)",1984.0
92,466,0.8,875811549,Red Rock West (1992),1992.0
264,514,1.0,886123359,Annie Hall (1977),1977.0
499,191,1.0,885599307,Amadeus (1984),1984.0
647,173,1.0,876534131,"Princess Bride, The (1987)",1987.0
847,239,1.0,878940688,Sneakers (1992),1992.0
145,229,0.6,885557699,Star Trek III: The Search for Spock (1984),1984.0
763,55,0.8,878917384,"Professional, The (1994)",1994.0
567,100,0.2,882425791,Fargo (1996),1996.0
378,1400,0.6,880057088,Picture Bride (1995),1995.0
863,332,0.8,889288943,Kiss the Girls (1997),1997.0
291,282,0.8,874833788,"Time to Kill, A (1996)",1996.0
387,461,1.0,886483753,Smoke (1995),1995.0
405,347,0.8,885544635,Wag the Dog (1997),1997.0
268,154,0.8,875743563,Monty Python's Life of Brian (1979),1979.0
334,969,0.8,891628832,Winnie the Pooh and the Blustery Day (1968),1968.0
184,174,0.6,889908693,Raiders of the Lost Ark (1981),1981.0
533,676,1.0,879439720,"Crucible, The (1996)",1996.0
720,1062,1.0,891262812,Four Days in September (1997),1997.0
747,258,0.4,888638335,Contact (1997),1997.0
642,1413,0.6,886569809,Street Fighter (1994),1994.0
21,987,0.6,874951616,Underworld (1997),1997.0
50,15,0.4,877052438,Mr. Holland's Opus (1995),1995.0
303,1199,0.6,879468123,Cemetery Man (Dellamorte Dellamore) (1994),1994.0
6,89,0.8,883600842,Blade Runner (1982),1982.0
59,549,0.8,888205659,Rob Roy (1995),1995.0
194,1011,0.6,879539794,2 Days in the Valley (1996),1996.0
554,756,0.6,876231938,Father of the Bride Part II (1995),1995.0
250,948,0.6,878089182,Booty Call (1997),1997.0
639,731,0.4,891239613,"Corrina, Corrina (1994)",1994.0
846,67,0.8,883950252,Ace Ventura: Pet Detective (1994),1994.0
314,246,1.0,877886375,Chasing Amy (1997),1997.0
493,262,0.6,884129793,In the Company of Men (1997),1997.0
429,726,0.4,882386751,Fluke (1995),1995.0
389,143,0.6,880087026,"Sound of Music, The (1965)",1965.0
123,165,1.0,879872672,Jean de Florette (1986),1986.0
